Feature,Transgenic_tdTOM_598_01,Transgenic_tdTOM_601_03,Transgenic_tdTOM_599_02,Transgenic_BioID2P2AtdTOM_552_01,Transgenic_tdTOM_580_04,Transgenic_BioID2P2AtdTOM_507_02,Transgenic_BioID2P2AtdTOM_584_05,Transgenic_BioID2P2AtdTOM_551_04,WT_tdTOM_607_02,WT_tdTOM_606_01,WT_tdTOM_525_04,WT_tdTOM_495_03,WT_BioID2P2AtdTOM_589_02,WT_BioID2P2AtdTOM_494_01,WT_BioID2P2AtdTOM_605_03
ERF3A_MOUSE|Q8R050,13.4224,13.5574,13.4509,14.5606,13.3911,14.5851,14.8386,14.6163,13.57,13.6087,13.1953,13.1235,14.627,14.5293,14.5774
ERF3B_MOUSE|Q149F3,12.8908,12.7784,12.7214,14.7475,12.8128,14.6253,14.6865,14.8278,12.9052,13.2385,12.2555,12.615,14.634,14.5078,14.5407
ERGI1_MOUSE|Q9DC16,14.1211,14.3838,14.071,14.6524,13.9345,14.6704,14.9209,14.542,14.5873,14.0796,13.5321,13.8515,14.8492,14.5472,14.9552
ERH_MOUSE|P84089,13.7329,13.7286,13.8274,14.4045,13.9056,14.6589,14.6024,14.601,14.3147,14.1425,14.0629,13.94,14.6904,14.6447,14.841
ERLEC_MOUSE|Q8VEH8,11.0423,10.7963,10.4145,11.3004,10.8776,11.5365,11.9224,11.0941,10.8478,11.5796,10.6107,11.1079,10.8543,11.1702,11.6836
ERLN1_MOUSE|Q91X78,12.5134,12.5199,12.447,13.4511,12.2639,13.3651,13.8788,13.1942,12.5271,13.2815,11.8541,11.9308,13.3344,12.7597,13.3669
ERLN2_MOUSE|Q8BFZ9,13.6985,13.8362,13.6147,14.6009,13.5912,14.4514,15.1626,14.1128,13.9619,14.3594,12.9071,13.0852,14.1471,13.6912,14.3575
ERMIN_MOUSE|Q5EBJ4,13.0633,12.9873,12.7088,13.3479,13.4795,13.3964,13.8172,13.8969,13.0982,13.3989,14.0349,13.1528,14.0246,13.863,14.0649
ERMP1_MOUSE|Q3UVK0,12.2664,12.6459,12.1738,13.3946,12.2774,13.3131,13.659,13.2194,12.9586,12.7234,12.1081,12.269,13.1609,13.1559,13.3401
ERP44_MOUSE|Q9D1Q6,12.6045,12.5029,12.532,12.9167,12.6707,13.2102,13.3195,12.8523,13.0198,12.6691,12.5617,12.363,12.9714,12.9362,13.3163
ES1_MOUSE|Q9D172,15.1911,15.1603,15.0876,15.9414,15.2234,15.9055,16.5864,15.7102,15.4453,15.93,15.0812,14.8881,15.9458,15.71,16.2567
ES8L2_MOUSE|Q99K30,10.5759,10.6184,10.7968,12.8948,11.0453,12.943,11.8809,13.2162,10.9395,10.736,11.1607,10.6788,13.1511,13.5933,13.0729
EST1A_MOUSE|P61406,11.1638,11.1872,11.1013,13.2915,11.5622,13.6891,13.3814,13.5864,11.8908,11.774,11.5099,11.6643,13.5975,13.4335,13.1343
ESTD_MOUSE|Q9R0P3,14.8145,14.9266,14.7046,15.6927,14.6784,15.5746,16.0752,15.3513,15.3975,14.9776,14.5592,14.5968,15.6945,15.5152,15.9586
ESYT1_MOUSE|Q3U7R1,14.3055,14.5924,14.0661,15.3673,14.5066,15.3971,15.2936,15.239,14.4917,14.0736,13.6874,13.9728,15.3824,15.3393,15.4709
ESYT2_MOUSE|Q3TZZ7,12.1135,12.3249,11.8735,13.6382,12.2501,13.5956,13.6586,13.5174,12.3269,12.0926,11.4613,11.6925,13.5351,13.5857,13.7189
ETBR2_MOUSE|Q99JG2,16.4576,16.5986,16.239,17.363,16.1326,17.2768,17.4496,17.3921,16.6199,16.1754,15.7835,15.7838,17.2209,17.044,17.3875
ETFA_MOUSE|Q99LC5,15.2276,15.1047,15.0943,15.4388,15.1129,15.4724,16.1332,15.376,15.4954,15.8122,14.9999,14.6247,15.6281,15.4,15.8813
ETFB_MOUSE|Q9DCW4,14.0032,14.0004,14.0318,14.5735,14.2547,14.9439,15.5419,14.4258,14.6876,14.9329,14.0274,13.6633,14.7991,14.4921,15.3624
ETFD_MOUSE|Q921G7,14.0879,14.1311,13.8929,14.6933,13.9434,14.6708,15.6557,14.4789,14.3272,14.9217,13.9416,13.577,14.7978,14.6981,15.2125
ETHE1_MOUSE|Q9DCM0,13.1232,13.2113,13.0645,13.6043,13.2308,13.6591,14.1476,13.616,13.6502,13.8315,13.251,12.9817,14.0272,13.7649,13.9585
EVL_MOUSE|P70429,12.6873,12.6841,12.4095,14.5,12.8909,14.6297,14.67,14.4417,13.1615,13.6099,12.6542,12.631,14.4908,14.5194,14.5829
EVPL_MOUSE|Q9D952,10.2876,9.9389,10.2396,13.7703,10.5715,14.0835,13.001,14.2156,10.4626,12.4902,11.2387,11.0094,14.139,14.272,13.7398
EWS_MOUSE|Q61545,13.1241,13.119,12.9556,13.7881,12.8498,13.8871,13.7026,13.929,13.3273,13.1215,12.8531,13.2208,13.8918,13.8547,14.2114
EXC6B_MOUSE|A6H5Z3,13.5879,13.7039,13.5866,14.8592,13.6888,14.894,15.217,14.9004,13.9869,14.1233,13.6458,13.6112,14.907,14.7841,15.0907
EXOC1_MOUSE|Q8R3S6,12.9623,12.9275,13.0134,14.0822,13.0171,14.2124,14.4753,14.1379,13.3443,13.2217,12.9177,12.6861,14.2366,14.1541,14.3179
EXOC2_MOUSE|Q9D4H1,13.648,13.6702,13.4814,14.4025,13.5242,14.6033,14.9619,14.4781,14.1568,13.6274,13.2379,13.1684,14.6385,14.4039,14.8299
EXOC3_MOUSE|Q6KAR6,11.9793,11.7385,11.9298,13.6938,11.8674,13.6987,13.6169,13.642,12.5085,12.1473,12.0446,11.8314,13.6179,13.6007,13.7641
EXOC4_MOUSE|O35382,13.4368,13.4131,13.1716,14.397,13.2227,14.5431,14.7581,14.3465,13.6614,13.4046,13.0346,13.0374,14.5006,14.4223,14.5316
EXOC5_MOUSE|Q3TPX4,13.1278,13.264,13.0269,14.1085,13.1291,14.1272,14.4544,13.8497,13.4645,13.3899,12.7397,12.9137,14.0753,13.9197,14.352
EXOC6_MOUSE|Q8R313,10.9628,11.7682,11.6983,12.4531,11.1289,12.5185,12.7245,12.5342,11.7694,11.4867,11.1381,11.1345,12.5922,12.4095,12.4339
EXOC7_MOUSE|O35250,13.7821,13.7266,13.6491,14.7374,13.668,14.8767,15.1297,14.4446,14.0988,13.9595,13.3621,13.373,14.573,14.4189,14.9172
EXOC8_MOUSE|Q6PGF7,12.1421,12.2308,12.3003,13.5744,12.2386,13.6973,13.8455,13.6798,12.6384,12.6126,12.0741,11.9783,13.6918,13.4963,13.6843
EXOS4_MOUSE|Q921I9,12.8935,12.8679,12.7074,13.2099,12.9112,13.1474,13.2621,13.0716,12.8879,12.9496,12.4061,12.4927,13.0059,12.9009,13.2166
EXOS7_MOUSE|Q9D0M0,14.6401,14.5694,14.9189,15.493,15.7402,14.8332,15.2137,14.0243,15.6623,16.0393,15.9468,15.9664,15.2094,15.9284,14.7921
EXOS9_MOUSE|Q9JHI7,12.7119,12.7491,12.7331,13.4228,12.6667,13.6102,13.4314,13.7593,12.7605,12.7286,12.2381,12.6357,13.6478,13.5297,13.5501
EXPH5_MOUSE|Q0VAV2,9.90358,10.2492,10.1434,12.1416,9.96217,12.1256,11.9,12.3424,9.99633,10.5823,9.53197,10.0556,12.1697,12.2218,11.4974
EZRI_MOUSE|P26040,14.5395,14.6335,14.5286,15.2175,14.5161,15.1809,15.6754,14.9332,14.8125,15.078,14.5158,14.5007,15.0689,14.8001,15.2217
F102A_MOUSE|Q78T81,13.7108,13.8847,13.5819,14.9229,13.5579,14.9022,15.4118,14.9616,14.1346,14.4279,13.4937,13.5894,15.0193,14.8006,15.0562
F10A1_MOUSE|Q99L47,13.8212,13.8928,13.8344,14.9146,13.9999,15.1708,15.0714,15.2166,14.3578,14.1197,13.8913,13.6729,14.8817,15.0423,15.3213
F110B_MOUSE|Q8C739,11.043,11.2642,10.6882,16.6261,11.6349,16.4685,15.781,16.6439,10.8708,11.8388,12.3594,11.8996,16.7086,16.8404,16.0414
F1142_MOUSE|Q8VE88,11.5524,11.1939,11.5911,15.7649,11.9033,15.8964,15.088,16.1312,11.4373,11.5583,11.8964,11.4425,15.7496,15.9914,15.4883
