"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04371","mmu04371","Apelin signaling pathway","30/1003","137/8997",0.000197572522788646,0.00131428678202882,0.000944912065510918,"108097/105787/108079/224129/11512/11514/11515/20541/14674/208727/15184/16438/12326/18754/72508/17258/17261/56717/107589/18125/75669/225326/18795/18797/18798/110157/20190/20544/17126/56632",30
"mmu04211","mmu04211","Longevity regulating pathway","22/1003","90/8997",0.000271799969779071,0.00176959129260416,0.00127225517768927,"74370/108097/105787/108079/224129/11512/11514/11515/67605/51897/72993/56484/16367/384783/12326/207565/72508/56717/12421/20869/64930/22084",22
"mmu04666","mmu04666","Fc gamma R-mediated phagocytosis","22/1003","92/8997",0.000379031647028012,0.0024024140943502,0.00172722581946747,"218038/13196/211914/30948/12631/12928/12929/18479/14389/18750/18754/72508/16885/18720/18719/18717/18803/110157/16332/56632/83767/245880",22
"mmu00561","mmu00561","Glycerolipid metabolism","17/1003","63/8997",0.000384700296154117,0.0024024140943502,0.00172722581946747,"11671/110695/380921/320127/217480/56077/110197/110524/104418/331374/14933/14626/225010/64898/55979/68262/227333",17
"mmu04020","mmu04020","Calcium signaling pathway","44/1003","240/8997",0.000560196926218776,0.00342840518845891,0.00246486647536261,"14810/12669/11514/11515/11938/67972/11941/12286/12287/12288/12290/13869/108058/19229/20541/14816/108071/16438/52163/12322/12323/12325/12326/18679/102093/18750/107589/14811/18125/18212/18213/269717/18795/18797/18803/19055/19056/381290/320707/18798/20190/56632/20866/116873",44
"mmu04530","mmu04530","Tight junction","33/1003","167/8997",0.000708553069274913,0.00425131841564948,0.00305650343608786,"76089/108097/105787/108079/75723/102098/192786/21872/70737/13383/23859/53310/54357/18754/14924/18016/231830/26414/17475/56217/83814/17999/93742/70497/19878/105782/13043/20869/104027/53857/238463/21844/21873",33
"mmu04929","mmu04929","GnRH secretion","16/1003","63/8997",0.00116084728610028,0.00683113979897474,0.00491127697965504,"109689/216869/12288/54393/242425/15165/15166/15168/16438/16519/16522/18750/18795/18797/18798/110157",16
"mmu05412","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","18/1003","77/8997",0.00165223525431097,0.00953932052488976,0.0068583350178946,"11472/11938/12294/12288/12295/12297/12298/12558/12300/54376/81905/12386/12387/14609/13405/13726/20541/16404",18
"mmu04912","mmu04912","GnRH signaling pathway","20/1003","90/8997",0.001813438954947,0.010276154078033,0.00738808463126554,"224129/11512/11514/11515/12288/108058/19229/16438/12322/12323/12325/18750/26414/26397/26398/18795/18797/18798/110157/20662",20
"mmu04962","mmu04962","Vasopressin-regulated water reabsorption","12/1003","44/8997",0.00245155456004797,0.013614969991414,0.00978854051670284,"11512/11515/13427/13426/235661/234663/13191/69654/67665/110350/18195/22318",12
"mmu04540","mmu04540","Gap junction","19/1003","86/8997",0.00250450010273235,0.013614969991414,0.00978854051670284,"224129/11512/11514/11515/21872/14609/14816/108071/16438/104318/18750/18795/18797/234889/18798/110157/20662/53857/238463",19
