"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04918","mmu04918","Thyroid hormone synthesis","20/1416","74/8997",0.00884388105260582,0.0219356104848097,0.0114351052151389,"11512/11657/11928/98660/232975/11931/11932/11933/12330/22027/14682/14683/16438/18749/18750/18751/18752/12304/18795/18797",20
"mmu05414","mmu05414","Dilated cardiomyopathy","24/1416","94/8997",0.00935859053574615,0.0230309063965628,0.0120060865425691,"11461/11512/12293/56808/12294/12295/12297/12298/54376/81905/13346/13405/16772/20541/14683/16403/16404/16410/18749/16773/16905/320910/22004/59069",24
"mmu00030","mmu00030","Pentose phosphate pathway","11/1416","33/8997",0.00959951743768427,0.0234406821152756,0.0122197039598429,"110208/11676/14381/18641/56421/72157/66681/19139/110639/21351/21881",11
"mmu04068","mmu04068","FoxO signaling pathway","31/1416","131/8997",0.0111190398535593,0.0269422888759321,0.014045102972917,"108097/19082/108079/216439/11651/23797/15469/109880/12359/93739/14784/26557/16367/384783/27373/26413/26417/26395/26396/18607/19211/26414/11836/15461/16653/13609/20656/20662/20848/20869/252870",31
"mmu04120","mmu04120","Ubiquitin mediated proteolysis","34/1416","147/8997",0.0115557341139405,0.0277866888999334,0.0144852914566069,"17222/208650/26965/71745/26554/72584/75717/13194/56228/67345/16396/83814/17999/28000/22186/78294/50995/21402/74126/69807/14897/216080/22201/22202/22200/231380/22192/22210/53323/93765/268470/140630/63958/66894",34
"mmu05225","mmu05225","Hepatocellular carcinoma","39/1416","174/8997",0.0122006634187866,0.0287172747668692,0.0149704089010245,"11461/11651/23797/12005/12048/12028/109880/12387/14784/56637/14860/14862/14870/14871/93687/18750/18751/18752/72508/56615/66447/26413/26417/26395/26396/56717/18104/18803/19211/11836/15461/16653/17126/67155/20586/57376/20587/20662/50493",39
"mmu04146","mmu04146","Peroxisome","22/1416","86/8997",0.0122162375198745,0.0287172747668692,0.0149704089010245,"19299/80911/14081/74205/50790/228061/17117/12359/58869/56690/15488/28200/23986/67420/13850/15926/17855/20280/67993/19305/18477/20656",22
"mmu04911","mmu04911","Insulin secretion","22/1416","86/8997",0.0122162375198745,0.0287172747668692,0.0149704089010245,"11512/11928/98660/232975/11931/11932/11933/108058/14672/14682/14683/18749/16531/18750/18751/18752/11517/18795/18797/19339/20614/22318",22
"mmu05170","mmu05170","Human immunodeficiency virus 1 infection","51/1416","240/8997",0.0133348648784614,0.0310728110781187,0.0161983576547586,"11651/23797/11764/11765/11769/108012/12048/12028/12317/12367/26965/72584/75717/13194/14083/19229/14693/14696/14701/14704/14708/14672/14677/14678/14679/14681/14682/16438/18750/18751/18752/72508/16885/26413/26417/26395/26396/26399/56717/16151/18479/18803/19055/19056/26414/19353/19354/170758/15461/16653/21402",51
"mmu04930","mmu04930","Type II diabetes mellitus","14/1416","48/8997",0.0134155628781719,0.0310728110781187,0.0161983576547586,"12286/12287/12290/216019/15275/16367/384783/18753/18754/18746/26413/26417/56717/26414",14
"mmu00480","mmu00480","Glutathione metabolism","19/1416","72/8997",0.0137007850291495,0.0315018049940299,0.0164219935808477,"110208/66988/14381/110175/207182/625249/14630/14860/14862/14870/14871/15926/56615/66447/75475/11758/20135/20810/20603",19
"mmu04964","mmu04964","Proximal tubule bicarbonate reclamation","8/1416","22/8997",0.0149769123087197,0.0341864302699036,0.01782149748406,"11928/98660/232975/11931/11932/11933/54403/76257",8
"mmu04024","mmu04024","cAMP signaling pathway","47/1416","220/8997",0.0154963908478962,0.0349049177718409,0.0181960473597567,"12669/80911/11512/11651/23797/11928/98660/232975/11931/11932/11933/109880/108058/14677/14678/14679/14683/14799/14802/18749/26413/26417/26395/26396/17931/11517/18479/18577/238871/56188/19045/19046/239273/381290/26414/320707/18578/19353/19354/170758/109905/215449/11848/19877/19878/20130/21844",47
"mmu05142","mmu05142","Chagas disease","25/1416","103/8997",0.0155132967874849,0.0349049177718409,0.0181960473597567,"71978/11651/23797/12260/12262/12317/12266/14672/14677/14678/14679/14680/14681/14682/14683/26413/26417/26398/16151/18795/18797/19052/19053/26414/17126",25
"mmu04142","mmu04142","Lysosome","31/1416","135/8997",0.0170069141911139,0.0379941700014247,0.0198064846122715,"11305/56325/11764/11765/11769/108012/11775/11776/64933/11777/11778/11886/13030/13033/64138/106039/15212/16783/19141/17113/16004/17939/211329/19063/12757/19156/20661/11972/108664/11984/11975",31
"mmu01240","mmu01240","Biosynthesis of cofactors","34/1416","152/8997",0.0189197015784674,0.0419697605437834,0.021878972915055,"11671/12035/108156/22169/71743/13382/319945/69080/331026/14630/17025/11637/108645/11720/232087/110119/18103/18104/71147/216134/223646/11564/11565/11566/69719/56749/55936/17252/54391/107272/67417/107508/22235/216558",34
"mmu04114","mmu04114","Oocyte meiosis","28/1416","121/8997",0.0204205674641417,0.0449823688895429,0.0234494554612154,"54401/22627/22629/22628/22630/22631/226849/11512/17222/231207/26965/108058/16438/18749/56150/26413/26417/26395/19045/19046/19052/19053/19055/19056/21402/20874/24061/13006",28
"mmu05219","mmu05219","Bladder cancer","12/1416","41/8997",0.0206821419966545,0.0452421856176817,0.0235848987681148,"109880/13144/73086/26413/26417/26395/26396/11836/15461/16653/20779/21825",12
"mmu00061","mmu00061","Fatty acid biosynthesis","7/1416","19/8997",0.0208483767553197,0.0452913012270738,0.0236105028953167,"94180/14081/74205/50790/234309/14104/71147",7
"mmu00020","mmu00020","Citrate cycle (TCA cycle)","10/1416","32/8997",0.0212390736660682,0.0455123007130032,0.0237257106473801,"104112/11428/12974/13382/15926/17448/78920/235339/18597/66945",10
"mmu00410","mmu00410","beta-Alanine metabolism","10/1416","32/8997",0.0212390736660682,0.0455123007130032,0.0237257106473801,"11409/80911/11671/67689/110695/66054/14417/56690/97212/227095",10
"mmu05216","mmu05216","Thyroid cancer","11/1416","37/8997",0.0233549715835584,0.0497082165460872,0.0259130552420705,"12028/109880/12387/26413/26417/26395/26396/21787/15461/16653/59069",11
