"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00250","mmu00250","Alanine, aspartate and glutamate metabolism","26/2181","39/8997",2.38272714617698e-08,1.4708757960054e-07,7.71733488640317e-08,"14718/14719/11484/212647/76282/108682/109900/66514/27053/11898/14415/14417/14661/268860/14583/14645/14660/269642/52633/11564/11565/11566/69719/231327/194237/214579",26
"mmu03013","mmu03013","Nucleocytoplasmic transport","56/2181","118/8997",2.90836633602106e-08,1.76148225257124e-07,9.24207773114934e-08,"326622/56215/56009/13680/53817/218210/13627/13628/226747/192170/16649/16648/16646/16650/16211/75751/70572/233726/226432/66441/103468/234865/170762/227720/18141/18226/19069/71805/269966/53319/18949/107939/70699/66679/19387/19384/19428/19386/19704/19826/20220/110379/72124/51796/170930/331401/21681/67878/238799/212999/320938/108989/103573/110750/72322/65246",56
"mmu01212","mmu01212","Fatty acid metabolism","35/2181","62/8997",5.19819993826725e-08,3.09004107441442e-07,1.62127093591181e-07,"107476/11363/11364/11409/11370/94180/66885/80911/257633/14081/74205/50790/216739/234309/12894/78070/12896/56348/15488/97212/231086/93747/223722/14104/15107/26922/20280/71147/19063/224530/106529/110460/113868/110446/52538",35
"mmu04725","mmu04725","Cholinergic synapse","53/2181","112/8997",7.67527196968091e-08,4.47956782230468e-07,2.35032251703148e-07,"11423/12669/12672/432530/224129/11512/11514/11515/11651/23797/12286/12287/12288/12647/108058/14360/14688/14693/14696/14701/14702/14704/14708/14672/14677/14678/14679/14681/14682/16438/18747/18749/12322/12323/12325/12326/16519/16522/16536/110862/226922/18750/18751/18752/26413/26417/26395/18795/18797/18798/15461/16653/63993",53
"mmu04260","mmu04260","Cardiac muscle contraction","44/2181","87/8997",8.71905566079351e-08,4.99788726270485e-07,2.62227237918602e-07,"236794/65973/11928/98660/232975/11931/11932/11933/11937/11938/53313/12293/56808/12294/12288/12295/12297/12298/12300/54376/81905/12857/12858/12859/12864/12867/110323/12865/12866/66445/20541/22003/22273/67003/66576/67530/22272/66152/20191/20544/236727/59069/326618/66694",44
"mmu04722","mmu04722","Neurotrophin signaling pathway","55/2181","121/8997",2.37337041278894e-07,1.33658228509693e-06,7.01272882818525e-07,"22627/11350/11651/23797/12028/109880/70405/12540/12928/12929/108058/56484/327826/14388/192662/11857/14784/56637/16367/12322/12323/12325/12326/18753/20111/20112/73086/26408/94275/26413/26417/26419/26420/26414/26395/26396/26400/18212/18213/18607/18803/19247/107746/77480/19353/110157/109905/215449/15461/16653/11848/20399/20418/20661/20662",55
"mmu05171","mmu05171","Coronavirus disease - COVID-19","95/2181","247/8997",3.3689027210959e-07,1.86451340253756e-06,9.78265762931658e-07,"12260/56417/16451/18750/18751/18752/26409/26413/26417/26419/26420/26414/16151/18803/19896/20042/20103/110954/238217/67025/269261/270106/22121/67115/66480/319195/19899/76808/19921/19933/19934/65019/268449/68193/19941/19942/26451/19943/19944/27367/19946/114641/19951/68436/66489/57808/54217/19982/67281/19981/67671/67891/22186/100503670/19988/19989/27176/26961/20005/11837/56040/67097/27207/68052/20044/20054/267019/20055/20068/20084/20085/16898/67427/66481/66475/20088/75617/27370/57294/78294/67941/20090/27050/14109/20102/20104/20115/20116/76846/16785/20846/20848/68652/56480/22031",95
"mmu00640","mmu00640","Propanoate metabolism","21/2181","31/8997",3.63609435101023e-07,1.97828184182082e-06,1.03795735265234e-06,"107476/100705/11409/80911/68738/60525/56690/13382/97212/52665/93747/268860/227095/16828/16832/104776/13171/12039/56451/20916/20917",21
"mmu03015","mmu03015","mRNA surveillance pathway","48/2181","103/8997",5.55013460031022e-07,2.96932201116597e-06,1.55793251938533e-06,"226849/26932/26931/51792/71978/326622/56215/56009/51786/68219/432508/269061/108062/228410/83410/70248/13680/53817/14852/14853/103677/66899/233908/74737/56422/192170/67897/66441/76626/53319/18458/54196/105083/18949/19045/19046/19052/19053/21770/230721/19704/19826/20220/226517/51796/230908/21681/74320",48
"mmu05231","mmu05231","Choline metabolism in cancer","46/2181","98/8997",7.36541132118908e-07,3.8711359328689e-06,2.03109279966888e-06,"11651/23797/100434/380921/320127/217480/56077/110197/110524/104418/331374/74182/14784/18750/18751/18752/72508/18777/26413/26417/26419/26420/26414/26395/26396/56717/18607/18720/18719/18717/18803/227333/19353/19354/170758/110157/15461/16653/19744/30805/63993/20662/64930/22084/83767/245880",46
"mmu00270","mmu00270","Cysteine and methionine metabolism","30/2181","54/8997",7.47696036878106e-07,3.8711359328689e-06,2.03109279966888e-06,"14718/14719/12035/12036/12411/107869/67870/74340/14630/14629/14854/16828/16832/108645/17449/17448/238505/11720/232087/66902/67873/269378/229709/257635/236539/107272/20810/20603/246221/22117",30
