"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04911","mmu04911","Insulin secretion","31/1582","86/8997",3.127572184992e-05,0.000136396898067707,6.95016041109333e-05,"432530/224129/11512/11514/11515/11928/232975/11933/12288/116838/108058/14672/14682/14683/20525/18747/18749/12322/12323/12325/18750/18751/18752/26875/18795/18797/18798/56508/20614/20907/22318",31
"mmu04520","mmu04520","Adherens junction","27/1582","71/8997",3.37177343902203e-05,0.000145032446555194,7.39018835950034e-05,"11461/21872/108100/12914/12540/12995/13000/12385/12386/12387/12388/26409/26413/26417/93742/11431/19268/19274/380928/19353/170758/11848/20411/83767/245880/73178/22612",27
"mmu01240","mmu01240","Biosynthesis of cofactors","47/1582","152/8997",3.69164138064159e-05,0.000156645323448846,7.98192730949533e-05,"58810/72535/11669/12035/108156/270685/22169/71743/230027/13382/319945/268566/69080/331026/14629/14854/17025/14151/11636/11637/56248/11639/229949/66588/108645/110119/17768/68646/79059/18102/18041/66454/71147/57028/29858/19044/11564/11565/11566/56749/55936/108037/17252/107272/20751/67417/216558",47
"mmu04015","mmu04015","Rap1 signaling pathway","61/1582","214/8997",4.44438815636723e-05,0.000186071717479908,9.48136140025008e-05,"76089/110351/11461/432530/224129/11512/11514/11515/11651/23797/12927/109880/70405/12540/12801/12929/12387/12388/238130/14026/14164/14678/14679/14681/14682/14683/16412/16590/18750/18751/18752/18759/26413/26417/26395/26396/26399/14812/93742/18795/18797/18643/18645/107746/18798/19353/170758/110157/56044/64143/109905/215449/15461/16653/51791/11848/56508/217692/244668/20469/21844",61
"mmu03010","mmu03010","Ribosome","53/1582","179/8997",4.57419289406162e-05,0.000188986390623072,9.62987977697183e-05,"20103/238217/67025/269261/270106/67115/66480/319195/19899/19921/19933/65019/268449/68193/19941/19942/26451/19943/19944/27367/114641/19951/68436/66489/54217/19982/67281/19981/67671/67891/22186/100503670/19988/27176/26961/56040/68537/68463/68611/27207/20044/66481/66475/20088/75617/27370/20090/14109/20104/20116/118451/77721/66258",53
"mmu04919","mmu04919","Thyroid hormone signaling pathway","39/1582","120/8997",4.92901828471115e-05,0.000201001524857052,0.000102421159162829,"11461/11651/23797/11928/232975/11933/11937/11938/53313/12914/12387/56637/20525/15182/18747/18749/18750/18751/18752/26413/26417/26395/26396/20185/18607/18641/18642/56421/18795/18797/18799/18802/54720/18798/110157/15461/16653/20544/22084",39
"mmu00330","mmu00330","Arginine and proline metabolism","22/1582","54/8997",5.2466988328632e-05,0.00021121326070757,0.000107624591443348,"72535/212647/110695/56752/11669/66988/109731/11846/66054/67092/12709/12715/76722/12716/18242/18451/209027/69051/66194/56454/19125/20810",22
"mmu05213","mmu05213","Endometrial cancer","23/1582","58/8997",5.9203533835831e-05,0.000235315311701911,0.000119905891313075,"11651/23797/12005/11789/12028/109880/12385/12386/12387/56484/14784/56637/26413/26417/26395/26396/18607/19211/11836/110157/15461/16653/20662",23
"mmu04915","mmu04915","Estrogen signaling pathway","42/1582","134/8997",6.65739286910172e-05,0.000261302670112243,0.000133147857382034,"432530/224129/11512/11514/11515/11651/23797/70405/22027/14228/54393/242425/14678/14679/14681/14682/14683/14784/15512/16661/16663/16664/68239/16660/18747/18749/16519/18753/16672/53617/26413/26417/26395/26396/18795/18797/18798/110157/15461/16653/20418/20662",42
"mmu04022","mmu04022","cGMP-PKG signaling pathway","51/1582","173/8997",7.16595502405748e-05,0.000277791342907907,0.000141549728870271,"432530/224129/11512/11514/11515/11739/11740/11651/23797/11928/232975/11933/11937/11938/53313/67972/11941/12288/70405/19058/20541/14672/14674/14678/14679/14682/14886/16367/384783/18754/17258/17260/17261/26413/26417/26395/26396/17931/18795/18797/19055/19056/105675/234889/19878/381290/320707/18798/110157/11848/22333",51
