"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04070","mmu04070","Phosphatidylinositol signaling system","54/2188","96/8997",1.74350358218129e-11,1.78849722301177e-10,9.11713248407194e-11,"70405/52858/110911/380921/320127/217480/56077/110197/110524/104418/331374/104015/18711/55980/269180/234515/64436/16329/228550/27399/16438/18750/18751/18752/53332/77116/74302/219135/54384/320634/18704/18718/108083/117150/107650/18720/18719/18717/225326/18795/18797/18799/18802/18803/19211/212111/227333/18798/83493/101490/16332/20975/327655/227399",54
"mmu00020","mmu00020","Citrate cycle (TCA cycle)","26/2188","32/8997",1.80053811196787e-11,1.78928474876807e-10,9.12114701457406e-11,"104112/11428/11429/239017/12974/13382/67834/15926/15929/269951/17449/17448/18293/78920/235339/18597/68263/74551/18563/71832/170718/66945/67680/56451/20916/20917",26
"mmu04072","mmu04072","Phospholipase D signaling pathway","73/2188","149/8997",4.20864370056961e-11,4.05560211145798e-10,2.06740392308682e-10,"432530/224129/11512/11514/11515/11651/23797/11840/11845/19157/19158/380921/320127/217480/56077/110197/110524/104418/13429/13430/103967/331374/19229/14360/14388/14389/14673/14674/14683/14784/14816/108068/108069/268934/108071/108073/14823/16590/18750/26413/26417/26395/26396/56717/18720/18719/18717/55979/18795/18797/28169/68262/52123/18803/19247/227333/18798/110157/56044/64143/15461/16653/19744/11848/56508/20130/66922/20418/20662/56632/14061/64930/22084",73
"mmu04910","mmu04910","Insulin signaling pathway","69/2188","139/8997",6.79859240289604e-11,6.35868348270865e-10,3.2414341487492e-10,"74370/228966/108097/19082/105787/108079/107476/11651/23797/11836/109880/70405/12402/208650/12928/12929/53413/14104/14251/14252/14784/56637/14936/216019/15275/13684/16367/384783/19084/19085/19087/19088/18747/18749/18679/102093/18759/72508/26413/26417/26419/26420/26414/26395/26396/56717/74551/18607/19045/19046/54646/19246/19268/110078/110095/19309/212111/107746/110157/15461/16653/19744/20104/20418/16332/20662/20411/64930/22084",69
"mmu04727","mmu04727","GABAergic synapse","50/2188","89/8997",1.04324448375777e-10,9.4786213095706e-10,4.83186918793073e-10,"432530/224129/11512/11514/11515/12286/12287/12288/14415/14417/54393/242425/268860/14688/14693/14696/14701/14702/14704/14394/14396/14397/14400/14401/14402/14406/93739/268566/14645/14660/14677/14678/14679/14681/15114/18747/18749/16522/18750/18751/18752/18195/227120/70827/57138/76257/243616/232333/20779/22348",50
"mmu04730","mmu04730","Long-term depression","38/2188","60/8997",1.47674179143722e-10,1.30445524910287e-09,6.64965601992197e-10,"51792/11836/53623/109880/12286/14672/14673/14674/14677/14678/14679/14681/14682/14683/14687/14799/14800/14804/14816/16438/18750/18751/18752/26413/26417/26395/26396/18125/18795/18797/19052/19053/234889/18798/110157/15461/16653/20190",38
"mmu05100","mmu05100","Bacterial invasion of epithelial cells","44/2188","76/8997",3.68167675762556e-10,3.16425191601332e-09,1.61302480988432e-09,"11461/56443/11867/66713/74117/242894/74192/76709/56378/68089/67771/12927/12389/12402/12488/12540/12757/74325/67300/12928/12929/12385/12386/12387/622434/330662/13429/13430/103967/140580/140579/14083/14388/16202/16412/19353/11848/56212/20418/20779/13043/22330/83767/73178",44
"mmu04012","mmu04012","ErbB signaling pathway","47/2188","84/8997",4.5758399349716e-10,3.82925552452886e-09,1.95202036007099e-09,"11350/11352/11651/23797/11836/109880/12402/208650/12576/12928/12929/13869/108058/14083/18479/14388/14784/56637/12322/12323/12325/18750/18751/18752/72508/26413/26417/26419/26420/26414/26395/26396/26398/26400/56717/17973/17974/224105/18481/214230/18803/110157/15461/16653/20418/20662/20779",47
"mmu03010","mmu03010","Ribosome","81/2188","179/8997",5.39370681610415e-10,4.39794555774646e-09,2.24191862261819e-09,"19896/20042/20103/110954/238217/67025/269261/270106/22121/67115/66480/319195/19899/76808/19921/19933/19934/65019/268449/68193/19941/19942/26451/19943/27367/19946/114641/19951/68436/66489/57808/54217/19982/67281/19981/67671/67891/22186/100503670/19988/19989/27176/26961/20005/11837/56040/67186/68537/68611/67097/27207/68052/20044/20054/267019/20055/20068/20084/20085/16898/67427/66475/20088/75617/27370/57294/78294/67941/54127/20090/27050/14109/20102/20104/20115/20116/76846/16785/118451/77721/66258",81
"mmu04921","mmu04921","Oxytocin signaling pathway","72/2188","153/8997",5.83086770707654e-10,4.63553982712585e-09,2.36303586023628e-09,"108097/19082/105787/108079/11461/432530/224129/11512/11514/11515/12293/56808/12294/12288/12295/12297/12298/70405/19058/12300/54376/81905/13629/108058/14677/14678/14679/14681/14682/14683/16438/18747/18749/52163/12322/12323/12325/12326/16519/16522/207565/18750/18751/18752/17260/26413/26417/26395/26396/17904/216459/107589/17931/18795/18797/232807/19045/19046/19055/19056/234889/19878/54720/18798/110157/15461/16653/11848/19877/20190/20191/20779",72
